"","Temperature","L","R","A_M","Color","Spectral_Class","Type"
"1",12749,332520,76,-7.02,"Blue","O",4
"2",4287,630000,1315,-9.2,"Orange","K",5
"3",3535,195000,1546,-11.36,"Red","M",5
"4",12893,184000,36,-6.34,"Blue","O",4
"5",9892,593900,80,-7.262,"Blue","O",4
"6",2914,0.000631,0.116,18.39,"Red","M",0
"7",13089,788,5.992,-0.12,"Blue-white","A",3
"8",3432,0.00067,0.19,16.94,"Red","M",0
"9",7723,0.00014,0.00878,14.81,"White","A",2
"10",37882,294903,1783,-7.8,"Blue","O",5
"11",3257,0.0024,0.46,10.73,"Red","M",1
"12",2935,0.00087,0.0932,16.88,"Red","M",0
"13",9320,29,1.91,1.236,"Blue-white","A",3
"14",32460,173800,6.237,-4.36,"Blue","O",3
"15",11000,170000,1779,-9.9,"Blue-white","B",5
"16",3496,0.00125,0.336,14.94,"Red","M",1
"17",3600,320000,29,-6.6,"Red","M",4
"18",24345,142000,57,-6.24,"Blue","O",4
"19",14982,0.00118,0.0113,12.23,"Blue","B",2
"20",3650,310000,1324,-7.79,"Red","M",5
"21",18000,2e+05,1045,-8.3,"Blue","O",5
"22",3780,2e+05,1324,-10.7,"Red","M",5
"23",2983,0.00024,0.094,16.09,"Red","M",0
"24",40000,813000,14,-6.23,"Blue","O",4
"25",4015,282000,1534,-11.39,"Red","K",5
"26",6380,1.35,0.98,2.93,"yellow-white","F",3
"27",39000,204000,10.6,-4.7,"Blue","O",3
"28",3750,283000,1260,-7.63,"Red","M",5
"29",3628,0.0055,0.393,10.48,"Red","M",1
"30",23440,537430,81,-5.975,"Blue","O",4
"31",17140,883,5.653,-2.64,"Blue-white","B",3
"32",3323,0.00043,0.0912,17.16,"Red","M",0
"33",2817,0.00098,0.0911,16.45,"Red","M",0
"34",8829,537493,1423,-10.73,"White","A",5
"35",2835,0.00034,0.0918,16.96,"Red","M",0
"36",3600,0.0029,0.51,10.69,"Red","M",1
"37",3607,0.022,0.38,10.12,"Red","M",1
"38",8930,0.00056,0.0095,13.78,"white","A",2
"39",25070,14500,5.92,-3.98,"Blue-white","B",3
"40",3625,184000,84,-6.74,"Red","M",4
"41",16500,0.013,0.014,11.89,"Blue White","B",2
"42",3200,195000,17,-7.22,"Red","M",4
"43",3304,0.0085,0.18,13.2,"Red","M",1
"44",3095,0.00019,0.492,10.87,"Red","M",1
"45",19360,0.00125,0.00998,11.62,"Blue","B",2
"46",5936,1.357,1.106,4.46,"yellow-white","F",3
"47",22012,6748,6.64,-2.55,"Blue-white","B",3
"48",3598,0.0011,0.56,14.26,"Red","M",1
"49",32489,648430,1948.5,-10.84,"Blue","O",5
"50",24020,0.00159,0.0127,10.55,"Blue","B",2
"51",19400,10920,6.03,-3.08,"Blue-white","B",3
"52",3212,0.0016,0.378,12.854,"Red","M",1
"53",19860,0.0011,0.0131,11.34,"Blue","B",2
"54",21738,748890,92,-7.346,"Blue","O",4
"55",3008,280000,25,-6,"Red","M",4
"56",23095,347820,86,-5.905,"Blue","O",4
"57",3100,0.008,0.31,11.17,"Red","M",1
"58",3459,1e+05,1289,-10.7,"Red","M",5
"59",25000,0.056,0.0084,10.58,"Blue White","B",2
"60",3752,209000,955,-11.24,"Red","M",5
"61",3500,138000,1420,-8.18,"Red","M",5
"62",13720,0.00018,0.00892,12.97,"white","F",2
"63",3484,0.000551,0.0998,16.67,"Red","M",0
"64",3129,0.0122,0.3761,11.79,"Red","M",1
"65",3600,240000,1190,-7.89,"Red","M",5
"66",2731,0.000437,0.0856,18.09,"Red","M",0
"67",3598,0.0027,0.67,13.667,"Red","M",1
"68",3463,0.0027,0.675,14.776,"Red","M",1
"69",5112,0.63,0.876,4.68,"Orange-Red","K",3
"70",19920,0.00156,0.0142,11.34,"Blue","B",2
"71",9373,424520,24,-5.99,"Blue","O",4
"72",3295,0.00098,0.132,17.13,"Red","M",0
"73",27739,849420,1252,-7.59,"Blue-white","B",5
"74",3692,0.00367,0.47,10.8,"Red","M",1
"75",3270,150000,88,-6.02,"Red","M",4
"76",9700,74,2.89,0.16,"Whitish","B",3
"77",19923,152000,73,-5.69,"Blue","O",4
"78",34190,198200,6.39,-4.57,"Blue","O",3
"79",3342,0.0015,0.307,11.87,"Red","M",1
"80",3625,74000,876,-10.25,"Red","M",5
"81",2856,0.000896,0.0782,19.56,"Red","M",0
"82",3462,0.0053,0.148,11.47,"Red","M",1
"83",7740,0.00049,0.01234,14.02,"White","A",2
"84",28700,16790,6.4,-4.09,"Blue-white","B",3
"85",3450,263000,1349,-11.75,"Red","M",5
"86",8052,8.7,1.8,2.42,"Whitish","A",3
"87",3218,0.000452,0.0987,17.34,"Red","M",0
"88",3570,320000,1480,-7.58,"Red","M",5
"89",18734,224780,46,-7.45,"Blue","O",4
"90",3340,0.0038,0.24,13.07,"Red","M",1
"91",3150,0.0088,0.35,11.94,"Red","M",1
"92",14520,0.00082,0.00972,11.92,"Blue White","B",2
"93",24630,363000,63,-5.83,"Blue","O",4
"94",3218,0.00054,0.11,20.02,"Red","M",0
"95",3523,0.0054,0.319,12.43,"Red","M",1
"96",3243,0.0023,0.73,14.75,"Red","M",1
"97",8924,0.00028,0.00879,14.87,"Blue white","A",2
"98",2637,0.00073,0.127,17.22,"Red","M",0
"99",2600,3e-04,0.102,18.7,"Red","M",0
"100",3614,145000,1553,-7.71,"Red","M",5
"101",3068,0.0024,0.17,16.12,"Red","M",0
"102",18340,0.00134,0.0124,11.22,"Blue","B",2
"103",10574,0.00014,0.0092,12.02,"White","F",2
"104",2621,6e-04,0.098,12.81,"Red","M",1
"105",33300,240000,12,-6.5,"Blue","B",4
