"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"1","2012-02-13 09:00:00",1,0,1,1,4.92,6.82,50,12.998,7,198,205
"2","2012-02-04 14:00:00",1,0,0,2,13.12,15.15,66,15.0013,47,229,276
"3","2012-08-17 03:00:00",3,0,1,1,26.24,12.12,65,7.0015,0,6,6
"4","2011-04-01 21:00:00",2,0,1,1,13.12,16.665,53,8.9981,9,84,93
"5","2012-11-04 22:00:00",4,0,0,1,12.3,14.395,52,19.0012,15,64,79
"6","2012-11-13 05:00:00",4,0,1,2,13.94,15.91,87,19.0012,0,18,18
"7","2012-09-06 11:00:00",3,0,1,3,28.7,33.335,84,11.0014,10,52,62
"8","2012-03-04 05:00:00",1,0,0,2,13.94,15.91,46,15.0013,0,5,5
"9","2011-07-05 20:00:00",3,0,1,1,31.16,36.365,66,7.0015,59,225,284
"10","2011-04-08 14:00:00",2,0,1,3,13.94,15.91,87,15.0013,2,13,15
"11","2012-12-11 04:00:00",4,0,1,2,13.94,15.91,76,19.0012,0,8,8
"12","2012-10-10 13:00:00",4,0,1,1,22.96,26.515,49,0,60,237,297
"13","2011-06-06 03:00:00",2,0,1,1,23.78,27.275,88,0,2,3,5
"14","2011-02-11 12:00:00",1,0,1,1,9.02,11.365,47,8.9981,7,64,71
"15","2012-07-01 09:00:00",3,0,0,1,33.62,39.395,56,0,51,168,219
"16","2011-06-18 06:00:00",2,0,0,1,25.42,28.79,83,7.0015,9,18,27
"17","2011-07-17 21:00:00",3,0,0,1,30.34,34.09,62,15.0013,59,148,207
"18","2012-11-02 03:00:00",4,0,1,1,12.3,15.15,70,11.0014,0,3,3
"19","2011-12-06 18:00:00",4,0,1,2,18.86,22.725,100,19.0012,17,287,304
"20","2012-05-08 15:00:00",2,0,1,3,25.42,29.545,73,16.9979,40,94,134
"21","2012-02-05 01:00:00",1,0,0,2,9.84,12.88,93,7.0015,5,46,51
"22","2011-08-16 12:00:00",3,0,1,1,31.16,34.09,48,22.0028,42,120,162
"23","2012-06-16 07:00:00",2,0,0,1,22.14,25.76,68,12.998,10,68,78
"24","2012-07-03 14:00:00",3,0,1,1,36.9,38.635,25,12.998,69,241,310
"25","2011-02-18 22:00:00",1,0,1,1,22.14,25.76,10,16.9979,19,88,107
"26","2012-03-16 00:00:00",1,0,1,1,18.04,21.97,77,16.9979,8,49,57
"27","2011-02-03 14:00:00",1,0,1,1,9.02,9.85,37,26.0027,4,43,47
"28","2011-06-14 19:00:00",2,0,1,1,26.24,31.06,50,23.9994,51,335,386
"29","2011-04-13 10:00:00",2,0,1,2,16.4,20.455,87,12.998,4,42,46
"30","2011-01-13 16:00:00",1,0,1,1,9.84,10.605,38,23.9994,2,76,78
"31","2012-09-07 18:00:00",3,0,1,1,31.16,35.605,62,19.9995,95,697,792
"32","2011-07-12 23:00:00",3,0,1,1,31.98,35.605,52,0,20,59,79
"33","2012-01-01 19:00:00",1,0,0,3,17.22,21.21,67,26.0027,20,85,105
"34","2011-01-05 12:00:00",1,0,1,1,10.66,11.365,33,22.0028,5,74,79
"35","2011-09-07 19:00:00",3,0,1,2,26.24,28.79,89,0,14,212,226
"36","2011-04-01 15:00:00",2,0,1,1,13.94,15.15,46,27.9993,30,81,111
"37","2011-03-11 15:00:00",1,0,1,2,13.94,15.91,53,16.9979,21,64,85
"38","2011-03-17 07:00:00",1,0,1,1,13.12,16.665,76,8.9981,12,128,140
"39","2011-04-04 02:00:00",2,0,1,1,15.58,19.695,66,16.9979,1,1,2
"40","2011-08-15 18:00:00",3,0,1,1,28.7,32.575,65,12.998,70,413,483
"41","2012-11-11 00:00:00",4,0,0,1,13.94,17.425,81,6.0032,14,110,124
"42","2011-02-16 18:00:00",1,0,1,1,16.4,20.455,40,15.0013,20,202,222
