"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"1","NGL Adjustment","Canada (Alberta)","North America",2020,"Onshore","Onstream","Non-OPEC",902.5476973,902.547697347541,"<$20",9365.11606137382,0,0,1,1353.82154595
"2","NGL Adjustment","Canada (Saskatchewan)","North America",2020,"Onshore","Onstream","Non-OPEC",16.8,16.8,"<$20",0,0,0,2,1379.02154595
"3","Montney Pouce Coupe AB","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.331878729,0.331878728518405,"<$20",1.52198194931207,2.147728,2.48062584,3,1379.5193640435
"4","Deep Basin Falher AB","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.082969682,0.0829696821296014,"<$20",0.133606706210081,2.270166,2.62204173,4,1379.6438185665
"5","Deep Basin Glauconite AB","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.580787775,0.580787774907209,"<$20",2.36737503813006,2.646251,3.056419905,5,1380.515000229
"6","Duvernay Kaybob Fox Creek","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.580787775,0.580787774907209,"<$20",2.30335825726131,3.706669,4.281202695,6,1381.3861818915
"7","Cardium Ferrier Willesden Green","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",5.807877749,5.8078777490721,"<$20",25.9631426217921,3.793657,4.381673835,7,1390.097998515
"8","Deep Basin Bluesky AB","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.497818093,0.497818092777608,"<$20",2.33707036173223,3.81301,4.40402655,8,1390.8447256545
"9","Duvernay Simonette","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.082969682,0.0829696821296014,"<$20",0.170131706210081,3.839777,4.434942435,9,1390.9691801775
"10","Montney Elmworth Karr AB","Canada (Alberta)","North America",2020,"Tight Oil","Onstream","Non-OPEC",2.157211735,2.15721173536963,"<$20",8.80879248693058,3.891156,4.49428518,10,1394.20499778
