"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"1","ADK Anadarko Basin Other Hz OGS OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.698091849,0.698091849170713,"<$20",2.20922356526281,0,0,1,0.8377102188
"2","ADK Anadarko Basin Other Hz OGS OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",30.96511966,30.9651196583538,"<$20",86.5894990830475,0,0,2,37.9958538108
"3","ADK Anadarko Basin Other Hz OGS TX (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",1.227515693,1.22751569303667,"<$20",50.5458189570779,0,0,3,39.4688726424
"4","ADK Anadarko Basin Other Hz OGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",10.19852981,10.1985298138352,"<$20",29.3944720727394,0,0,4,51.7071084144
"5","ADK Anadarko Basin Other OGS KS (Future drilling)","US (Lower 48)","North America",2020,"Onshore","Probable Development","Non-OPEC",0.049212457,0.0492124566793333,"<$20",0.123479735966288,0,0,5,51.7661633628
"6","ADK Anadarko Basin Other OGS KS","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",30.17470391,30.1747039080919,"<$20",93.2913669958848,0,0,6,87.9758080548
"7","ADK Anadarko Basin Other OGS OK (Future drilling)","US (Lower 48)","North America",2020,"Onshore","Probable Development","Non-OPEC",0.601165035,0.601165035284167,"<$20",27.2827744791391,0,0,7,88.6972060968
"8","ADK Anadarko Basin Other OGS OK","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",37.13479822,37.134798224669,"<$20",133.266632159468,0,0,8,133.2589639608
"9","ADK Anadarko Basin Other OGS TX (Future drilling)","US (Lower 48)","North America",2020,"Onshore","Probable Development","Non-OPEC",0.098596643,0.0985966430056225,"<$20",4.0166717204891,0,0,9,133.3772799324
"10","ADK Anadarko Basin Other OGS TX","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",15.76901463,15.7690146279968,"<$20",51.2330293997467,0,0,10,152.3000974884
"11","ADK Cana Dry Gas Woodford Hz SHG OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.013216788,0.0132167875,"<$20",2.12644976127716,0,0,11,152.315957634
"12","ADK Cana Wet Gas Woodford Hz SHG OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.893373075,0.893373075,"<$20",49.8772835243361,0,0,12,153.388005324
"13","ADK Cana Wet Gas Woodford Hz SHG OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",8.414482298,8.41448229799278,"<$20",26.5852468416308,0,0,13,163.4853840816
"14","ADK Granite Wash Hz TGS OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.847838513,0.8478385125,"<$20",5.43528958594791,0,0,14,164.5027902972
"15","ADK Granite Wash Hz TGS OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",12.44820094,12.4482009411851,"<$20",37.0783960881341,0,0,15,179.4406314252
"16","ADK Granite Wash Hz TGS TX (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.014751896,0.0147518962376625,"<$20",0.108321909048531,0,0,16,179.4583337004
"17","ADK Granite Wash Hz TGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",10.47361695,10.4736169530213,"<$20",33.7993579033027,0,0,17,192.0266740404
"18","ADK SCOOP Condensate Woodford Hz SHG OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",3.088589525,3.088589525,"<$20",69.6640157825133,0,0,18,195.7329814704
"19","ADK SCOOP Condensate Woodford Hz SHG OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",4.619182525,4.61918252488598,"<$20",12.3679732823138,0,0,19,201.2760005004
"20","ADK SCOOP Gas Woodford Hz SHG OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.053610189,0.05361018934565,"<$20",8.09642623098603,0,0,20,201.3403327272
"21","ADK SCOOP Gas Woodford Hz SHG OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",1.456507998,1.45650799785563,"<$20",4.40561950375036,0,0,21,203.0881423248
"22","AKM Arkoma Basin Other Hz OGS AR","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",4.611676643,4.61167664348884,"<$20",13.5782239602216,0,0,22,208.6221542964
"23","AKM Arkoma Basin Other Hz OGS OK (Future drilling)","US (Lower 48)","North America",2020,"Tight Oil","Probable Development","Non-OPEC",0.010887,0.010887,"<$20",1.0640949086875,0,0,23,208.6352186964
"24","AKM Arkoma Basin Other Hz OGS OK","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.132134676,0.132134675950747,"<$20",0.434154485549163,0,0,24,208.7937803076
"25","AKM Arkoma Basin Other OGS AR","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",6.540532827,6.54053282687153,"<$20",22.260935435925,0,0,25,216.6424197
"26","AKM Arkoma Basin Other OGS OK (Future drilling)","US (Lower 48)","North America",2020,"Onshore","Probable Development","Non-OPEC",0.00762025,0.00762025,"<$20",2.48148870595549,0,0,26,216.651564
"27","AKM Arkoma Basin Other OGS OK","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",0.208907073,0.208907073069603,"<$20",0.730464552619486,0,0,27,216.9022524876
