"","country","total_2021","total_2022","country_ru"
"1","Estonia",61342.8518095179,54855.4109728983,"Эстония"
"2","Singapore",74494.9967572991,67059.2173793774,"Сингапур"
"3","Finland",84349.0318741884,74250.4369106536,"Финляндия"
"4","Lithuania",87626.7027353812,78205.7390801642,"Литва"
"5","Korea, Republic of",121837.441384663,85724.9852525988,"Республика Корея"
"6","United Arab Emirates",133031.569539447,94845.4603225656,"ОАЭ"
"7","Kazakhstan",134730.458343318,113082.011183143,"Казахстан"
"8","Netherlands",269667.912251565,129275.749556226,"Нидерланды"
"9","Cyprus",154369.166148984,138059.750085855,"Кипр"
"10","United Kingdom",246184.566835696,169780.904329157,"Великобритания"
"11","Belarus",203791.388376284,182570.863838477,"Белоруссия"
"12","Germany",539835.489073949,237011.4179936,"Германия"
"13","United States of America",633436.122903542,297996.068514584,"США"
"14","Switzerland",413810.219292721,360783.400709614,"Швейцария"
"15","China total",659356.200594069,507623.909246537,"Китай"
