"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"1","1","Алтайский край",2002-01-01,"1",2624071.41048687,128.846125344932,584061.96879208,2142.96091210011,113.34038319108,27696.6696020952,0.000816664122709851,5448.24411784496,3.03222222222223,9451.66000000244,8928.34000000223,3.64574999999999,894,13.3133333333333,1739.33333333333,17.9333333333333,32482.6666666667,61,"High usage",464.754409077676
"2","2","Алтайский край",2002-04-01,"2",2622862.84629212,127.031675206959,538820.777275248,2142.57254726006,113.320229914647,27814.4817612569,0.000816888841990216,5641.34647070688,3.0622222222222,10242.1700000025,9786.2000000023,2.11,581,14.2666666666667,1450.66666666667,16.9333333333333,9156.66666666667,60.46,"High usage",467.236241446604
"3","3","Алтайский край",2002-07-01,"3",2620445.71790261,123.402774931013,448338.394241586,2141.79581757995,113.279923361783,28050.1060795804,0.000817338280549647,6027.5511764307,4.20777777777779,10856.8100000026,10152.6500000023,1.45150000000001,1700,14.72,2468.33333333333,18.3333333333333,32764,61,"High usage",472.199906184458
"4","4","Алтайский край",2002-10-01,"4",2616820.02531835,117.959424517094,312614.819691091,2140.63072305978,113.219463532487,28403.5425570657,0.000818012438388779,6606.85823501645,1.61333333333333,11159.0600000024,10533.7200000023,1.49674999999998,620,14.3166666666667,1108.33333333333,13.7333333333333,17390,57,"Low usage",479.645403291239
"5","5","Алтайский край",2003-01-01,"5",2611985.76853934,110.701623965203,131650.053623766,2139.07726369956,113.138850426759,28874.7911937127,0.000818911315508022,7379.26764646411,1.45111111111113,11891.1200000026,11215.8600000024,2.04615384615383,1477,14.46,1108.33333333333,15.5,17463,57,"Low usage",489.572732766948
"6","6","Алтайский край",2003-04-01,"6",2606295.75841199,106.469854158365,6815.32574732962,2139.22497447564,112.983065013764,29671.7682150235,0.000820762532144971,8063.32435245744,2.66333333333336,12149.2200000027,11466.5800000025,1.59641025641025,939,14.72,780.333333333333,17.8333333333333,8854.33333333333,58.91,"Low usage",508.914571450451
"7","7","Алтайский край",2003-07-01,"7",2599749.99493632,105.26411509658,-61889.3639382165,2141.07385538802,112.752107293502,30794.473620998,0.000823566088300993,8659.02835299645,4.29666666666667,12485.8800000028,11652.4900000026,3.19333333333334,208,14.51,780.333333333333,21.3666666666667,5933.33333333333,61,"High usage",537.670919341746
"8","8","Алтайский край",2003-10-01,"8",2592348.47811231,107.08440677985,-74464.0154328728,2144.6239064367,112.445977265973,32242.9074116363,0.000827321983974415,9166.37964808113,2.85888888888891,12570.4100000028,12092.4400000025,3.11846153846155,726,14.12,1350.66666666667,17.7666666666667,32482.6666666667,59.64,"High usage",575.841776440835
"9","9","Алтайский край",2004-01-01,"9",2584091.20793996,111.930729208173,-30908.6287366394,2149.87512762169,112.064674931177,34017.0695869383,0.000832030219166872,9585.37823771149,0.163749999999979,12583.3100000028,12139.0500000025,1.27761904761903,326,14.8566666666667,1127,18.7666666666667,4250.66666666667,59.64,"High usage",623.427142747717
"10","10","Алтайский край",2004-04-01,"10",2575946.61669504,115.840966496233,-856.50256348967,2148.821565047,112.134284024788,35264.9265313653,0.000834227526136206,10050.4223784789,3.19374999999999,12770.8100000029,12736.6600000027,4.93785714285714,208,14.9733333333333,2468.33333333333,21.3666666666667,6874,53,"Low usage",659.610432171381
