Страна;Траты на еду, %;Траты на алкоголь, %;Мусульманская страна
Algeria;37,3;1,0;1
Angola;49,7;1,5;0
Argentina;23,2;1,9;0
Australia;10,0;4,2;0
Austria;11,3;3,6;0
Azerbaijan;43,6;2,0;1
Bahrain;13,1;0,4;1
Bangladesh;52,7;2,1;1
Belarus;32,1;7,7;0
Belgium;13,5;4,0;0
Bolivia;29,2;2,1;0
Bosnia and Herzegovina;30,0;8,2;1
Brazil;16,3;1,7;0
Bulgaria;19,3;5,3;0
Cambodia;42,7;1,9;0
Cameroon;45,2;2,0;1
Canada;10,0;4,1;0
Chile;18,5;3,4;0
China;20,0;2,9;0
Colombia;18,6;3,5;0
Costa Rica;31,6;0,7;0
C?te d'Ivoire;38,5;3,2;0
Croatia;19,6;6,6;0
Czech Republic;16,1;8,1;0
Denmark;12,3;3,6;0
Dominican Republic;26,8;3,8;0
Ecuador;26,3;0,8;0
Egypt;37,6;4,7;1
El Salvador;26,5;0,5;0
Estonia;20,2;7,8;0
Ethiopia;41,3;3,1;1
Finland;12,0;5,0;0
France;14,1;4,1;0
Georgia;32,3;3,5;0
Germany;12,0;3,5;0
Ghana;39,2;0,5;1
Greece;17,6;4,8;0
Guatemala;34,6;1,3;0
Honduras;31,9;4,9;0
Hong Kong, China;12,1;0,7;0
Hungary;18,0;7,7;0
India;32,1;2,2;0
Indonesia;33,9;7,3;1
Iran;28,7;0,5;1
Iraq;29,6;4,2;1
Ireland;9,2;5,5;0
Israel;16,0;2,8;0
Italy;15,5;4,4;0
Japan;16,7;3,0;0
Jordan;26,4;4,5;1
Kazakhstan;49,4;2,4;1
Kenya;56,1;3,7;0
Kuwait;19,3;0,2;1
Laos;50,6;10,8;0
Latvia;19,3;7,6;0
Lebanon;21,0;1,1;1
Lithuania;21,0;5,9;0
Malaysia;27,5;1,9;0
Mexico;26,2;3,6;0
Montenegro;27,2;5,1;0
Morocco;33,9;1,4;1
Myanmar;56,6;0,6;0
Netherlands;12,1;3,3;0
New Zealand;12,2;5,2;0
Nigeria;59,0;1,0;1
North Macedonia;33,3;5,9;1
Norway;12,5;4,2;0
Oman;22,6;0,2;1
Pakistan;39,6;1,1;1
Panama;15,7;1,7;0
Paraguay;30,3;4,2;0
Peru;26,6;2,4;0
Philippines;38,6;2,1;0
Poland;17,2;6,3;0
Portugal;17,5;3,1;0
Qatar;12,3;0,3;1
Romania;25,2;5,5;0
Russia;29,0;7,3;0
Saudi Arabia;20,5;0,7;1
Serbia;24,1;8,4;0
Singapore;8,4;2,0;0
Slovakia;19,6;5,4;0
Slovenia;14,9;4,9;0
South Africa;21,3;5,1;0
South Korea;12,8;1,8;0
Spain;13,1;4,0;0
Sri Lanka;27,7;3,4;0
Sweden;12,7;3,4;0
Switzerland;9,9;3,5;0
Taiwan;13,3;2,5;0
Tanzania;27,4;1,6;0
Thailand;28,3;3,3;0
Tunisia;24,2;3,4;1
Turkey;27,3;2,8;1
Turkmenistan;36,9;2,2;1
Uganda;44,2;0,9;0
Ukraine;41,6;6,9;0
United Arab Emirates;13,6;0,4;1
United Kingdom;8,7;4,0;0
Uruguay;18,8;1,3;0
USA;6,7;1,9;0
Uzbekistan;46,5;3,2;1
Venezuela;18,6;3,8;0
Vietnam;31,2;2,1;0
