"","Q3","Q6","Q9","Q26","Q12"
"1",3,3,4,3,10
"2",4,4,3,3,12
"3",4,4,3,3,12
"4",4,4,3,3,12
"5",4,2,3,1,9
"6",3,2,4,2,3
"7",4,3,2,1,3
"8",4,4,1,2,2
"9",2,3,3,1,4
"10",1,2,1,3,2
"11",4,4,3,3,5
"12",2,1,1,1,2
"13",1,1,2,3,3
"14",1,2,4,1,4
"15",4,2,3,1,5
"16",3,4,3,3,12
"17",3,2,3,1,6
"18",1,2,1,2,3
"19",2,3,4,3,7
"20",3,2,3,2,7
"21",3,3,3,2,5
"22",1,4,1,2,2
"23",4,2,3,4,5
"24",3,1,4,2,6
"25",4,3,3,1,9
"26",4,2,4,1,2
"27",2,1,1,1,2
"28",1,2,1,3,3
"29",4,2,4,2,7
"30",3,2,3,1,6
"31",2,2,3,2,3
"32",4,4,4,2,4
"33",2,2,1,1,2
"34",2,4,1,3,4
"35",2,3,2,2,5
"36",4,3,4,3,3
"37",4,2,4,2,6
"38",2,1,1,2,4
"39",4,4,4,3,7
"40",4,2,4,2,5
"41",3,2,3,1,7
"42",2,3,3,2,6
"43",2,1,2,1,3
"44",3,1,2,2,5
"45",2,3,3,2,11
"46",4,3,3,1,4
"47",2,2,4,1,2
"48",2,3,4,2,4
"49",4,1,4,2,1
"50",2,1,1,2,6
"51",1,1,3,1,3
"52",2,2,1,3,2
"53",3,2,4,2,5
"54",2,1,1,2,2
"55",1,2,2,2,2
"56",3,3,1,2,4
"57",1,2,2,2,3
"58",3,2,3,2,6
"59",4,1,3,2,2
"60",2,4,2,3,4
"61",2,1,2,2,4
"62",2,4,1,1,4
"63",2,2,3,3,4
"64",3,4,4,2,7
"65",2,3,2,3,2
"66",2,1,2,2,3
"67",2,2,2,3,3
"68",3,2,3,3,5
"69",2,2,2,3,5
"70",1,4,3,3,4
"71",2,3,2,3,3
"72",4,2,3,3,5
"73",1,3,2,1,4
"74",3,3,3,2,7
"75",4,3,3,1,6
"76",3,2,2,2,5
"77",3,3,4,1,6
"78",2,4,2,2,4
"79",3,4,4,3,10
"80",2,3,3,3,4
"81",3,2,3,3,6
"82",3,1,2,4,2
"83",1,2,4,2,4
"84",3,2,3,1,7
"85",1,1,4,1,5
"86",2,1,2,3,2
"87",2,2,3,1,2
"88",1,3,4,1,5
"89",1,2,1,2,3
"90",2,4,1,4,2
"91",2,4,1,3,5
"92",3,4,2,2,4
"93",2,3,3,1,5
"94",3,2,3,1,10
"95",1,2,1,3,1
"96",3,3,4,1,4
"97",1,2,2,1,5
"98",3,4,2,2,4
"99",4,1,1,1,1
"100",3,2,4,1,7
"101",4,4,4,2,3
"102",2,1,3,1,6
"103",3,2,3,2,6
"104",4,2,2,2,2
"105",2,1,2,2,4
"106",2,3,2,1,7
"107",2,2,4,1,10
"108",2,3,4,1,3
"109",3,4,3,1,4
"110",2,1,2,2,6
"111",3,3,3,1,8
"112",3,3,2,3,8
"113",2,3,3,1,4
"114",2,2,1,1,2
"115",2,4,2,2,4
"116",2,4,1,3,3
"117",3,3,3,2,3
"118",4,1,2,2,5
"119",2,3,3,3,5
"120",1,2,2,2,8
"121",2,4,1,2,3
"122",4,2,2,2,4
"123",2,1,2,2,2
"124",3,1,2,1,4
"125",3,3,4,1,5
"126",2,1,2,2,3
"127",3,1,4,3,5
"128",3,1,3,2,5
"129",3,3,4,1,6
"130",4,2,4,1,5
"131",2,1,3,2,2
"132",1,2,3,2,4
"133",3,3,3,1,5
"134",2,1,1,3,3
"135",2,3,3,2,2
"136",2,2,1,2,3
"137",4,1,2,2,3
"138",1,4,3,2,4
"139",4,1,4,1,10
"140",2,3,3,1,5
"141",4,2,3,1,5
"142",2,1,1,3,2
"143",3,2,2,2,4
"144",2,2,2,1,5
"145",2,4,1,3,4
"146",3,2,4,2,4
"147",2,4,4,2,6
"148",2,2,2,1,3
"149",3,4,3,1,7
"150",2,4,1,4,4
"151",3,4,2,1,2
"152",1,2,3,2,1
"153",2,2,3,1,5
"154",4,1,4,1,5
"155",4,4,2,3,4
"156",2,4,2,2,10
"157",3,2,3,1,5
"158",4,4,1,3,4
"159",1,4,2,2,4
"160",3,2,3,1,5
"161",2,1,3,3,4
"162",4,4,3,2,4
"163",1,2,3,2,4
"164",2,2,3,2,3
"165",4,2,4,1,6
"166",1,2,2,1,2
"167",3,1,4,1,6
"168",2,4,2,3,2
"169",4,3,4,1,6
"170",4,3,4,1,6
"171",2,4,4,1,5
"172",4,2,3,1,7
"173",4,3,4,3,11
"174",2,4,2,4,3
"175",1,4,3,2,5
"176",3,4,3,1,11
"177",4,4,4,1,4
"178",3,1,3,3,3
"179",3,4,4,2,5
"180",2,3,4,3,5
"181",2,2,2,1,4
"182",4,1,4,1,4
"183",4,2,3,2,4
"184",1,3,4,4,4
"185",3,1,3,1,5
"186",3,2,3,2,5
"187",2,4,4,2,6
"188",3,2,4,1,5
"189",2,1,1,3,2
"190",3,2,2,3,11
"191",4,1,4,1,8
"192",4,3,4,1,4
"193",1,1,2,1,3
"194",1,3,3,4,2
"195",2,4,2,3,12
"196",1,3,1,2,4
"197",1,2,3,2,5
"198",2,3,4,2,4
"199",1,4,2,2,3
"200",2,4,1,1,1
"201",2,4,3,2,4
"202",2,4,3,2,4
"203",3,1,3,1,5
"204",1,2,1,2,3
"205",1,2,1,3,4
"206",3,2,3,1,4
"207",3,2,3,2,7
"208",3,2,3,2,5
"209",4,1,4,2,11
"210",4,2,2,1,6
"211",3,1,3,1,5
"212",1,1,1,3,2
"213",2,1,4,2,5
"214",3,2,3,1,8
"215",4,4,1,4,15
"216",2,2,2,1,3
"217",2,4,3,3,4
"218",3,4,1,1,3
"219",3,2,4,1,8
"220",1,1,2,1,2
"221",2,3,1,2,2
"222",2,2,2,1,4
"223",3,2,4,2,5
"224",1,1,2,1,2
"225",1,2,4,2,4
"226",1,1,2,1,1
"227",3,1,4,2,12
"228",3,4,4,1,4
"229",4,3,3,2,5
"230",3,1,2,2,3
"231",2,1,3,2,4
"232",4,1,4,2,3
"233",2,1,1,1,3
"234",2,3,2,2,4
"235",4,2,4,1,5
"236",2,4,2,3,3
"237",4,2,3,1,6
"238",4,2,2,2,5
"239",4,2,4,1,7
"240",4,2,4,2,7
"241",2,2,1,3,2
"242",4,1,4,2,5
"243",4,1,3,2,3
"244",1,3,3,3,3
"245",1,1,3,1,3
"246",3,2,3,2,8
"247",3,4,3,3,4
"248",1,2,2,2,2
"249",2,2,4,1,7
"250",1,1,2,3,1
"251",2,3,2,2,4
"252",2,2,4,1,8
"253",2,1,3,2,3
"254",1,1,2,2,2
"255",2,4,1,3,2
"256",1,1,2,2,3
"257",1,4,2,2,6
"258",2,3,3,3,4
"259",2,2,2,2,4
"260",2,1,3,3,5
"261",2,2,1,3,1
"262",1,2,2,1,4
"263",2,1,1,1,4
"264",3,3,3,2,5
"265",3,2,4,2,5
"266",3,2,4,1,4
"267",1,2,1,3,2
"268",3,1,3,1,4
"269",2,2,3,3,4
"270",1,4,1,4,2
"271",3,1,3,1,5
"272",2,3,2,1,3
"273",2,3,3,2,5
"274",1,1,2,1,2
"275",1,1,1,3,1
"276",4,2,4,1,7
"277",4,2,3,1,6
"278",2,1,2,2,2
"279",3,3,3,2,6
"280",4,1,4,1,5
"281",4,1,3,1,1
"282",4,2,3,1,1
"283",2,1,2,2,5
"284",4,2,4,1,7
"285",3,4,3,1,4
"286",3,3,3,2,5
"287",3,3,3,2,9
"288",2,2,2,1,2
"289",1,1,2,1,4
"290",3,3,2,3,7
"291",2,2,2,3,4
"292",3,2,3,3,7
"293",1,4,1,3,3
"294",3,2,4,2,6
"295",2,2,4,2,14
"296",2,2,3,1,4
"297",3,4,3,1,5
"298",4,2,4,3,15
"299",2,4,1,2,4
"300",2,2,2,2,3
"301",4,2,3,2,6
"302",1,3,4,2,3
"303",4,2,3,1,8
"304",4,1,3,2,6
"305",2,3,2,2,3
"306",1,1,2,2,2
"307",3,2,3,2,4
"308",3,2,4,1,4
"309",3,4,3,1,4
"310",2,4,1,2,3
"311",3,2,4,1,9
"312",2,3,3,3,4
"313",1,2,1,2,2
"314",2,3,1,1,4
"315",2,3,2,3,3
"316",2,2,4,3,6
"317",4,2,3,2,5
"318",2,1,2,2,5
"319",2,4,2,2,7
"320",2,2,3,2,6
"321",2,2,3,2,3
"322",3,4,2,2,4
"323",3,2,4,3,7
"324",2,2,2,1,3
"325",3,2,3,2,5
"326",4,1,2,1,5
"327",4,2,3,1,10
"328",2,1,2,1,7
"329",2,1,3,1,6
"330",2,2,4,2,6
"331",3,2,2,1,4
"332",2,2,2,2,3
"333",1,1,4,3,7
"334",3,4,4,3,2
"335",1,1,2,2,4
"336",3,3,2,4,5
"337",4,4,3,2,5
"338",2,4,3,3,6
"339",2,4,3,2,3
"340",2,3,2,2,3
"341",2,4,3,1,4
"342",3,4,3,2,9
"343",2,4,2,1,1
"344",1,1,3,2,3
"345",2,4,4,1,10
"346",1,1,2,2,2
"347",2,1,2,1,4
"348",4,1,3,1,6
"349",4,1,4,2,9
"350",3,4,3,3,8
"351",1,1,1,2,3
"352",2,1,1,3,1
"353",2,4,1,2,4
"354",3,3,3,2,10
"355",1,2,3,1,4
"356",3,2,2,2,4
"357",3,2,4,1,8
"358",2,3,3,2,3
"359",3,2,4,2,8
"360",2,3,2,2,6
"361",3,1,3,2,7
"362",2,2,4,2,7
"363",2,2,2,2,4
"364",2,2,2,2,7
"365",3,1,3,1,3
"366",2,4,3,2,3
"367",3,1,3,1,8
"368",3,4,3,2,5
"369",3,3,3,3,9
"370",2,2,2,3,2
"371",2,3,3,3,4
"372",1,1,3,2,3
"373",3,3,3,1,6
"374",2,2,2,2,3
"375",4,4,4,2,5
"376",3,4,3,1,6
"377",3,2,3,1,5
"378",3,2,3,1,5
"379",2,3,1,1,15
"380",4,3,4,1,6
"381",1,4,3,1,3
"382",3,1,4,3,4
"383",4,2,2,2,2
"384",2,3,2,2,9
"385",2,4,2,1,5
"386",1,4,2,3,3
"387",2,2,1,2,2
"388",2,2,2,2,4
"389",3,3,2,2,6
"390",3,1,4,1,4
"391",3,4,2,3,4
"392",3,1,3,2,4
"393",4,1,3,1,7
"394",2,2,3,2,7
"395",2,4,2,3,5
"396",3,2,3,2,5
"397",2,1,3,1,5
"398",2,4,3,2,8
"399",4,2,3,1,3
"400",3,4,2,2,3
"401",1,1,3,1,2
"402",4,2,3,2,6
"403",4,2,3,1,11
"404",3,4,3,2,8
"405",1,1,3,3,3
"406",2,4,2,3,2
"407",4,2,4,1,11
"408",2,3,4,1,4
"409",2,4,4,2,5
"410",3,3,1,3,3
"411",4,3,3,1,5
"412",3,2,4,1,6
"413",4,1,4,3,7
"414",2,2,2,3,3
"415",3,3,3,1,4
"416",4,4,4,2,5
"417",2,4,2,1,6
"418",2,2,2,1,5
"419",2,2,1,3,3
"420",3,1,3,2,9
"421",4,3,3,2,5
"422",3,2,3,2,6
"423",3,2,4,2,9
"424",2,1,2,2,4
"425",1,2,3,3,2
"426",4,1,4,1,5
"427",2,2,3,2,8
"428",3,2,4,2,5
"429",4,2,3,1,7
"430",1,1,3,1,4
"431",3,2,3,1,5
"432",2,2,2,1,3
"433",2,2,3,1,4
"434",2,4,1,2,3
"435",1,1,1,2,3
"436",3,2,3,2,5
"437",3,2,4,2,5
"438",3,2,4,1,12
"439",4,2,3,1,7
"440",2,2,2,2,3
"441",4,2,4,1,7
"442",4,4,3,2,4
"443",4,1,2,3,1
"444",2,2,3,2,3
"445",2,2,2,1,3
"446",4,2,3,2,6
"447",3,2,4,2,3
"448",3,1,3,2,5
"449",4,3,4,3,9
"450",2,2,2,2,5
