"","Date","CPI","Output","Key_Rate","Interbank_Rate","USD","Urals"
"1",2011-01-01,102.37,18194.6177312069,7.75,2.63866666666667,30.1359903225806,101.3563502
"2",2011-02-01,100.78,18378.7170888612,8,2.74157894736842,29.2317535714286,111.2618167
"3",2011-03-01,100.62,18746.9158041697,8,3.01772727272727,28.4077931034483,119.4547198
"4",2011-04-01,100.43,19299.2138771326,8,3.16333333333333,28.0299066666667,111.4810248
"5",2011-05-01,100.48,19748.976775256,8.25,3.6725,27.9440612903226,111.7276339
"6",2011-06-01,100.23,20096.2044985401,8.25,3.65190476190476,27.9841103448276,115.3034662
"7",2011-07-01,99.99,20340.8970469847,8.25,3.82095238095238,27.9055096774194,109.5081518
"8",2011-08-01,99.76,20880.2155080625,8.25,3.86391304347826,28.8262741935484,111.5068493
"9",2011-09-01,99.96,21714.1598817733,8.25,4.36090909090909,30.67603,108.4
"10",2011-10-01,100.48,22842.7301681172,8.25,4.87142857142857,31.2163548387097,110.7
"11",2011-11-01,100.42,22955.7731163348,8.25,4.9652380952381,30.82165,107.6
"12",2011-12-01,100.44,22053.2887264261,8,5.33238095238095,31.5470482758621,109.8
"13",2012-01-01,100.5,20135.276998391,8,4.79625,31.39628,119.17
"14",2012-02-01,100.37,19173.5473974446,8,4.3585,29.7693,123.15
"15",2012-03-01,100.58,19168.0999235869,8,5.03571428571429,29.3360310344828,117.3
"16",2012-04-01,100.31,20118.9345768178,8,5.2447619047619,29.4738642857143,108.89
"17",2012-05-01,100.52,20771.777540928,8,5.70190476190476,30.9620724137931,93.31
"18",2012-06-01,100.89,21126.6288159172,8.25,5.6535,32.8292931034483,102.6
"19",2012-07-01,101.23,21183.4884017856,8,5.53181818181818,32.4550166666667,113.24
"20",2012-08-01,100.1,21593.7682309664,8,5.24695652173913,31.931235483871,111.66
"21",2012-09-01,100.55,22357.4683034595,8.25,5.46,31.3600482758621,110.74
"22",2012-10-01,100.46,23474.5886192649,8.25,6.02260869565217,31.1227387096774,108.44
