"year","make","model","trim","body","transmission","vin","state","condition","odometer","color","interior","seller","mmr","sellingprice","saledate"
"2012","Ford","Focus","Titanium","Hatchback","automatic","1fahp3n21cl330426","ca","3",26747,"red","black","remarketing by ge/chase lease remarketing co","12900",14000,"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)"
"2012","Ford","Focus","Titanium","Hatchback","automatic","1fahp3n22cl337238","ca","3.9",29499,"black","black","ford motor credit company,llc pd","12900",14900,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Sedan","automatic","1fahp3f21cl196273","ca","3",64750,"red","black","remarketing by ge/chase lease remarketing co","8150",8500,"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Hatchback","automatic","1fahp3m26cl436775","ca","3.9",68306,"white","black","mars auto","8700",8200,"Tue Dec 16 2014 12:30:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Sedan","automatic","1fahp3h27cl120201","ca","3.7",89575,"red","tan","wells fargo dealer services","7475",9000,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Hatchback","automatic","1fahp3k20cl268649","ca","2.9",63205,"black","black","dtg operations inc","8525",8300,"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Sedan","automatic","1fahp3f22cl321491","ca","4.8",9059,"gray","gray","ford motor credit company,llc pd","11050",12100,"Thu Jan 08 2015 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Hatchback","automatic","1fahp3k20cl290456","ca","4.5",21147,"black","black","ford motor credit company,llc pd","10650",11300,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Sedan","automatic","1fahp3f22cl294180","ca","2.8",22548,"black","gray","ford motor credit company,llc pd","10500",10500,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SE","Hatchback","automatic","1fahp3k26cl423057","ca","3",44674,"white","black","enterprise fm exchange/tra/lease","9475",4000,"Tue Dec 16 2014 13:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Hatchback","automatic","1fahp3m24cl423300","ca","4.6",48952,"white","beige","ford motor credit company,llc pd","10050",11700,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Sedan","automatic","1fahp3h20cl470320","ca","",38370,"white","gray","kearny pearson kia","10600",10700,"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Hatchback","automatic","1fahp3m26cl429227","ca","2.6",54322,"black","black","ford motor credit company,llc","9650",7600,"Tue Dec 16 2014 13:00:00 GMT-0800 (PST)"
"2012","Ford","Focus","SEL","Sedan","automatic","1fahp3h23cl156080","ca","3.1",76000,"silver","black","exeter finance corp","8225",9100,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)"
