CPI;Date
103,09;01.01.2002
101,16;01.02.2002
101,08;01.03.2002
101,16;01.04.2002
101,69;01.05.2002
100,53;01.06.2002
100,72;01.07.2002
100,09;01.08.2002
100,4;01.09.2002
101,07;01.10.2002
101,61;01.11.2002
101,54;01.12.2002
102,4;01.01.2003
101,63;01.02.2003
101,05;01.03.2003
101,02;01.04.2003
100,8;01.05.2003
100,8;01.06.2003
100,71;01.07.2003
99,59;01.08.2003
100,34;01.09.2003
101;01.10.2003
100,96;01.11.2003
101,1;01.12.2003
101,75;01.01.2004
100,99;01.02.2004
100,75;01.03.2004
100,99;01.04.2004
100,74;01.05.2004
100,78;01.06.2004
100,92;01.07.2004
100,42;01.08.2004
100,43;01.09.2004
101,14;01.10.2004
101,11;01.11.2004
101,14;01.12.2004
102,62;01.01.2005
101,23;01.02.2005
101,34;01.03.2005
101,12;01.04.2005
100,8;01.05.2005
100,64;01.06.2005
100,46;01.07.2005
99,86;01.08.2005
100,25;01.09.2005
100,55;01.10.2005
100,74;01.11.2005
100,82;01.12.2005
102,43;01.01.2006
101,66;01.02.2006
100,82;01.03.2006
100,35;01.04.2006
100,48;01.05.2006
100,28;01.06.2006
100,67;01.07.2006
100,19;01.08.2006
100,09;01.09.2006
100,28;01.10.2006
100,63;01.11.2006
100,79;01.12.2006
101,68;01.01.2007
101,11;01.02.2007
100,59;01.03.2007
100,57;01.04.2007
100,63;01.05.2007
100,95;01.06.2007
100,87;01.07.2007
100,09;01.08.2007
100,79;01.09.2007
101,64;01.10.2007
101,23;01.11.2007
101,13;01.12.2007
102,31;01.01.2008
101,2;01.02.2008
101,2;01.03.2008
101,42;01.04.2008
101,35;01.05.2008
100,97;01.06.2008
100,51;01.07.2008
100,36;01.08.2008
100,8;01.09.2008
100,91;01.10.2008
100,83;01.11.2008
100,69;01.12.2008
102,37;01.01.2009
101,65;01.02.2009
101,31;01.03.2009
100,69;01.04.2009
100,57;01.05.2009
100,6;01.06.2009
100,63;01.07.2009
100;01.08.2009
99,97;01.09.2009
100;01.10.2009
100,29;01.11.2009
100,41;01.12.2009
101,64;01.01.2010
100,86;01.02.2010
100,63;01.03.2010
100,29;01.04.2010
100,5;01.05.2010
100,39;01.06.2010
100,36;01.07.2010
100,55;01.08.2010
100,84;01.09.2010
100,5;01.10.2010
100,81;01.11.2010
101,08;01.12.2010
102,37;01.01.2011
100,78;01.02.2011
100,62;01.03.2011
100,43;01.04.2011
100,48;01.05.2011
100,23;01.06.2011
99,99;01.07.2011
99,76;01.08.2011
99,96;01.09.2011
100,48;01.10.2011
100,42;01.11.2011
100,44;01.12.2011
100,5;01.01.2012
100,37;01.02.2012
100,58;01.03.2012
100,31;01.04.2012
100,52;01.05.2012
100,89;01.06.2012
101,23;01.07.2012
100,1;01.08.2012
100,55;01.09.2012
100,46;01.10.2012
100,34;01.11.2012
100,54;01.12.2012
100,97;01.01.2013
100,56;01.02.2013
100,34;01.03.2013
100,51;01.04.2013
100,66;01.05.2013
100,42;01.06.2013
100,82;01.07.2013
100,14;01.08.2013
100,21;01.09.2013
100,57;01.10.2013
100,56;01.11.2013
100,51;01.12.2013
100,59;01.01.2014
100,7;01.02.2014
101,02;01.03.2014
100,9;01.04.2014
100,9;01.05.2014
100,62;01.06.2014
100,49;01.07.2014
100,24;01.08.2014
100,65;01.09.2014
100,82;01.10.2014
101,28;01.11.2014
102,62;01.12.2014
103,85;01.01.2015
102,22;01.02.2015
101,21;01.03.2015
100,46;01.04.2015
100,35;01.05.2015
100,19;01.06.2015
100,8;01.07.2015
100,35;01.08.2015
100,57;01.09.2015
100,74;01.10.2015
100,75;01.11.2015
100,77;01.12.2015
100,96;01.01.2016
100,63;01.02.2016
100,46;01.03.2016
100,44;01.04.2016
100,41;01.05.2016
100,36;01.06.2016
100,54;01.07.2016
100,01;01.08.2016
100,17;01.09.2016
100,43;01.10.2016
100,44;01.11.2016
100,4;01.12.2016
100,62;01.01.2017
100,22;01.02.2017
100,13;01.03.2017
100,33;01.04.2017
100,37;01.05.2017
100,61;01.06.2017
100,07;01.07.2017
99,46;01.08.2017
99,85;01.09.2017
100,2;01.10.2017
100,22;01.11.2017
100,42;01.12.2017
100,31;01.01.2018
100,21;01.02.2018
100,29;01.03.2018
100,38;01.04.2018
100,38;01.05.2018
100,49;01.06.2018
100,27;01.07.2018
100,01;01.08.2018
100,16;01.09.2018
100,35;01.10.2018
100,5;01.11.2018
100,84;01.12.2018
101,01;01.01.2019
100,44;01.02.2019
100,32;01.03.2019
100,29;01.04.2019
100,34;01.05.2019
100,04;01.06.2019
100,2;01.07.2019
99,76;01.08.2019
99,84;01.09.2019
100,13;01.10.2019
100,28;01.11.2019
100,36;01.12.2019
100,4;01.01.2020
100,33;01.02.2020
100,55;01.03.2020
100,83;01.04.2020
100,27;01.05.2020
100,22;01.06.2020
100,35;01.07.2020
99,96;01.08.2020
99,93;01.09.2020
100,43;01.10.2020
100,71;01.11.2020
100,83;01.12.2020
100,67;01.01.2021
100,78;01.02.2021
100,66;01.03.2021
100,58;01.04.2021
100,74;01.05.2021
100,69;01.06.2021
100,31;01.07.2021
100,17;01.08.2021
100,6;01.09.2021
101,11;01.10.2021
100,96;01.11.2021
100,82;01.12.2021
100,99;01.01.2022
101,17;01.02.2022
107,61;01.03.2022
101,56;01.04.2022
100,12;01.05.2022
99,65;01.06.2022
99,61;01.07.2022
99,48;01.08.2022
100,05;01.09.2022
100,18;01.10.2022
100,37;01.11.2022
100,78;01.12.2022
100,84;01.01.2023
