"","Возраст","Пол","Напиток"
"1",60,2,"Водка"
"2",54.5,1,"Пиво"
"3",54.5,1,"Водка"
"4",42,1,"Водка"
"5",59.5,2,"Водка"
"6",61,1,"Водка"
"7",46.5,2,"Водка"
"8",46.5,2,"Пиво"
"9",46.5,2,"Водка"
"10",46.5,2,"Мартини или вермут"
"11",37.5,1,"Пиво"
"12",52,1,"Пиво"
"13",52,1,"Коньяк или виски"
"14",36,1,"Пиво"
"15",36,1,"Коньяк или виски"
"16",47.5,2,"Коктейли"
"17",47.5,2,"Пиво"
"18",79,2,"Вино"
"19",75,1,"Пиво"
"20",75,1,"Водка"
"21",51.5,1,"Водка"
"22",51,1,"Пиво"
"23",51,1,"Водка"
"24",71.5,2,"Водка"
"25",64,1,"Водка"
"26",64,1,"Самогон"
"27",69,2,"Коньяк или виски"
"28",34,2,"Пиво"
"29",76.5,2,"Водка"
"30",81.5,1,"Водка"
"31",74,2,"Коньяк или виски"
"32",74,2,"Водка"
"33",87.5,2,"Водка"
"34",59,1,"Водка"
"35",69,1,"Водка"
"36",74.5,1,"Водка"
"37",66.5,1,"Пиво"
"38",66.5,1,"Водка"
"39",66.5,1,"Самогон"
"40",41,1,"Пиво"
"41",41,1,"Водка"
"42",41,1,"Самогон"
"43",65.5,1,"Водка"
"44",68.5,1,"Пиво"
"45",68.5,1,"Водка"
"46",70,1,"Водка"
"47",39.5,2,"Мартини или вермут"
"48",72,2,"Коньяк или виски"
"49",75,1,"Пиво"
"50",75,1,"Водка"
"51",55,1,"Водка"
"52",29,1,"Пиво"
"53",45.5,1,"Пиво"
"54",69.5,1,"Водка"
"55",62,1,"Водка"
"56",39.5,1,"Пиво"
"57",39.5,1,"Водка"
"58",63,2,"Пиво"
"59",35,2,"Пиво"
"60",30.5,1,"Водка"
"61",62.5,2,"Мартини или вермут"
"62",40.5,1,"Пиво"
"63",40.5,1,"Водка"
"64",40,1,"Пиво"
"65",40,1,"Водка"
"66",66,1,"Пиво"
"67",66,1,"Водка"
"68",59,2,"Самогон"
"69",59,2,"Вино"
"70",72.5,1,"Пиво"
"71",55,1,"Коктейли"
"72",55,1,"Водка"
"73",74.5,1,"Водка"
"74",68.5,1,"Самогон"
"75",33,2,"Пиво"
"76",53.5,2,"Самогон"
"77",53.5,2,"Вино"
"78",57.5,1,"Пиво"
"79",57.5,1,"Самогон"
"80",33,1,"Пиво"
"81",33,1,"Водка"
"82",33,1,"Самогон"
"83",51.5,2,"Пиво"
"84",51.5,2,"Водка"
"85",51.5,2,"Вино"
"86",30,2,"Коктейли"
"87",30,2,"Пиво"
